,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
196,Wyoming,MWC,7-4,Oakland2013,Cal St. Fullerton2013,Morehead St.2017,16.0,16,0.05164323517151051
197,Fresno St.,MWC,5-4,Drake2011,Southeastern Louisiana2009,Navy2016,15.76,16,0.06180533740135497
198,UTSA,CUSA,5-7,Idaho St.2006,Tulane2017,UMKC2017,16.0,16,0.035520137741237454
199,UNC Asheville,BSth,7-6,Montana2002,Eastern Illinois2017,Washington St.2003,15.63,16,0.12196339771389411
200,Montana St.,BSky,6-3,McNeese St.2003,Lipscomb2012,North Texas2014,15.69,16,0.043652234926620126
201,Morehead St.,OVC,8-6,Hawaii2009,Southeastern Louisiana2008,Lehigh2005,16.0,16,0.012702984711214923
202,VMI,SC,6-6,Eastern Michigan2005,UC Irvine2011,Howard2002,15.7,16,0.06403508662223574
203,Illinois Chicago,Horz,6-4,Texas A&M2002,Rice2002,Northwestern St.2012,16.0,16,0.04447015357007621
204,Iona,MAAC,5-3,Eastern Washington2012,Dartmouth2016,Western Kentucky2011,None,0,0.0
205,Austin Peay,OVC,7-4,Arkansas St.2007,Florida Atlantic2010,Lamar2018,16.0,16,0.02635392942393948
206,Fordham,A10,1-4,Saint Peter's2018,Georgia St.2011,Ball St.2010,None,0,0.0
207,Mount St. Mary's,NEC,4-5,Boston University2008,UC Santa Barbara2013,Evansville2008,16.0,16,0.025229977658195495
208,Southern Miss,CUSA,6-6,UC Santa Barbara2013,Boston University2008,South Alabama2005,16.0,16,0.01959984594819711
209,James Madison,CAA,5-4,Duquesne2017,Cal St. Northridge2013,Bowling Green2018,16.0,16,0.03059682550437837
210,Lipscomb,ASun,9-6,FIU2016,Central Connecticut2004,South Dakota2015,None,0,0.0
211,Canisius,MAAC,3-3,UNC Asheville2013,Cleveland St.2005,Western Carolina2016,15.49,15,0.028163279615723822
212,Hartford,AE,8-5,St. John's2004,IPFW2010,Wyoming2011,15.81,16,0.07044945921913677
213,NJIT,AE,4-4,Coastal Carolina2014,Tulane2004,Mount St. Mary's2017,16.0,16,0.07190621334445313
214,Fort Wayne,Horz,5-5,UMKC2017,Georgia Southern2003,Bowling Green2018,16.0,16,0.046987968647582395
